date,restaurant,planned_hours,actual_hours,budget,sells
2017-04-04,Noodle Bar,90,52,2484.75,3520.5
2017-04-04,Jack Rabbit,187,165,1851.09,3732.92
2017-04-05,Copacabana,229,152,91.68,4937.74
2017-04-05,Noodle Bar,122,277,2667.17,3827.11
2017-04-05,Jack Rabbit,216,43,4222.27,3960.95
2017-04-06,Copacabana,288,74,4572.89,849.11
2017-04-06,Noodle Bar,254,26,118.84,4911.45
2017-04-06,Jack Rabbit,129,10,4963.45,593.01
2017-04-07,Copacabana,145,221,238.93,2588.8
2017-04-07,Noodle Bar,233,113,4322.12,1564.41
2017-04-07,Jack Rabbit,44,47,1943.77,4328.09
2017-04-08,Copacabana,131,5,2313.79,2199.85
2017-04-08,Noodle Bar,145,116,468.14,4457.49
2017-04-08,Jack Rabbit,160,162,2372.69,3871.93
2017-04-09,Copacabana,266,105,147.72,3780.69
2017-04-09,Noodle Bar,151,154,2723.18,4836.16
2017-04-09,Jack Rabbit,52,79,1399.07,47.51
2017-04-10,Copacabana,196,44,2959.02,2162.96
2017-04-10,Noodle Bar,6,106,1555.95,1627.43
2017-04-10,Jack Rabbit,266,286,52.99,2719.97
2017-04-11,Copacabana,2,150,4824.04,1457.88
2017-04-11,Noodle Bar,13,115,3706.92,4624.66
2017-04-11,Jack Rabbit,153,285,182.75,1124.79
2017-04-12,Copacabana,107,38,2198.83,1926.82
2017-04-12,Noodle Bar,22,103,1916.65,4371.24
2017-04-12,Jack Rabbit,25,41,4680.66,245.58
2017-04-13,Copacabana,255,175,585.27,688.22
2017-04-13,Noodle Bar,32,232,4734.27,150.65
2017-04-13,Jack Rabbit,7,259,1684.2,3744.19
2017-04-14,Copacabana,167,233,1507.92,717.27
2017-04-14,Noodle Bar,213,205,3374.26,2319.72
2017-04-14,Jack Rabbit,55,246,3006.77,974.73
2017-04-15,Copacabana,170,85,4441.45,2926.3
2017-04-15,Noodle Bar,288,224,2678.47,3186.62
2017-04-15,Jack Rabbit,95,27,537.93,3115.58
2017-04-16,Copacabana,115,71,2626.97,386.41
2017-04-16,Noodle Bar,90,179,898.78,1471.03
2017-04-16,Jack Rabbit,140,79,1065.54,4234.49
2017-04-17,Copacabana,255,182,4640.64,3173.01
2017-04-17,Noodle Bar,114,157,714.73,3644.94
2017-04-17,Jack Rabbit,3,63,2359.68,2811.54
2017-04-18,Copacabana,73,28,4735.09,903.18
2017-04-18,Noodle Bar,119,240,3429.99,243.92
2017-04-18,Jack Rabbit,47,91,4376.21,3737.25
2017-04-19,Copacabana,34,176,2514.7,4968.06
2017-04-19,Noodle Bar,161,112,4698.58,1444.33
2017-04-19,Jack Rabbit,222,259,816.48,342.48
2017-04-20,Copacabana,170,46,344.04,1985.21
2017-04-20,Noodle Bar,256,26,0.75,2616.42
2017-04-20,Jack Rabbit,16,142,4016.84,2884.09
2017-04-21,Copacabana,37,226,679.46,1854.3
2017-04-21,Noodle Bar,112,274,688.35,2482.21
2017-04-21,Jack Rabbit,74,146,2928.7,2491.1
2017-04-22,Copacabana,121,266,1516.97,2816.4
2017-04-22,Noodle Bar,113,52,216.79,554.6
2017-04-22,Jack Rabbit,93,160,1080.87,3576.66
2017-04-23,Copacabana,291,52,4286.54,4318.36
2017-04-23,Noodle Bar,159,161,2827.13,2583.77
2017-04-23,Jack Rabbit,222,256,4256.96,871.51
2017-04-24,Copacabana,111,7,30.6,3748.71
2017-04-24,Noodle Bar,170,197,1852.76,155.52
2017-04-24,Jack Rabbit,294,120,3841.97,1357.4
2017-04-25,Copacabana,224,109,4071.88,473.37
2017-04-25,Noodle Bar,287,197,2806.31,3000.37
2017-04-25,Jack Rabbit,185,175,51.12,2557.56
2017-04-26,Copacabana,256,233,991.47,1674.21
2017-04-26,Noodle Bar,247,220,3717.03,558.19
2017-04-26,Jack Rabbit,235,64,4465.65,1358.05
2017-04-27,Copacabana,187,57,2545.86,2165.26
2017-04-27,Noodle Bar,281,163,3640.7,3709.75
2017-04-27,Jack Rabbit,74,250,1169.53,512.94
2017-04-28,Copacabana,183,298,4746.01,2621.47
2017-04-28,Noodle Bar,20,194,1235.22,749.33
2017-04-28,Jack Rabbit,196,214,1123.87,4070.67
2017-04-29,Copacabana,211,282,4908.67,3579.25
2017-04-29,Noodle Bar,189,190,151.07,824.87
2017-04-29,Jack Rabbit,125,101,391.28,95.45
2017-04-30,Copacabana,12,169,3935.75,4378.73
2017-04-30,Noodle Bar,207,32,2228.1,1848.93
2017-04-30,Jack Rabbit,167,11,3401.17,450.93
2017-05-01,Copacabana,105,261,4129.07,2978.25
2017-05-01,Noodle Bar,182,283,215.67,2117.95
2017-05-01,Jack Rabbit,147,237,1730.33,466.59
2017-05-02,Copacabana,0,213,2886.21,97.98
2017-05-02,Noodle Bar,31,282,3430.8,4008.04
2017-05-02,Jack Rabbit,2,68,2986.78,1989.73
2017-05-03,Copacabana,35,182,2541.99,4349.86
2017-05-03,Noodle Bar,193,182,199.91,2769.68
2017-05-03,Jack Rabbit,140,228,3579.57,2976.9
2017-05-04,Copacabana,175,171,2395.62,4323.49
2017-05-04,Noodle Bar,264,115,4224.44,3667.81
2017-05-04,Jack Rabbit,149,184,2891.23,2973.11
2017-05-05,Copacabana,259,159,1145.21,2853.98
2017-05-05,Noodle Bar,58,81,408.76,3696.56
2017-05-05,Jack Rabbit,104,247,3150.47,4941.24
2017-05-06,Copacabana,20,282,3116.64,4907.6
2017-05-06,Noodle Bar,15,114,4202.63,3589.33
2017-05-06,Jack Rabbit,233,287,2333.48,3023.66
2017-05-07,Copacabana,101,189,2679.79,2033.45
2017-05-07,Noodle Bar,243,86,2201.68,4764.8
2017-05-07,Jack Rabbit,0,5,2376.74,320.16
2017-05-08,Copacabana,283,206,1621.76,936.06
2017-05-08,Noodle Bar,22,179,1866.6,2088.39
2017-05-08,Jack Rabbit,34,21,3240.7,4476.72
2017-05-09,Copacabana,234,22,4840.71,2918.3
2017-05-09,Noodle Bar,161,282,4509.74,302.23
2017-05-09,Jack Rabbit,26,144,3821.94,2531.33
2017-05-10,Copacabana,161,296,185.25,1712.34
2017-05-10,Noodle Bar,249,53,4037.86,4999.36
2017-05-10,Jack Rabbit,211,284,2663.73,4616.31
2017-05-11,Copacabana,197,35,3849.45,3851.34
2017-05-11,Noodle Bar,194,293,2960.17,807.45
2017-05-11,Jack Rabbit,44,163,4704.12,2384.32
2017-05-12,Copacabana,12,269,2092.6,2450.53
2017-05-12,Noodle Bar,280,20,2603.89,4731.48
2017-05-12,Jack Rabbit,150,145,3739.51,3333.8
2017-05-13,Copacabana,118,220,637.31,907.63
2017-05-13,Noodle Bar,160,120,3172.56,3262.03
2017-05-13,Jack Rabbit,287,194,1626.68,3032.98
2017-05-14,Copacabana,86,94,3422.03,4819.62
2017-05-14,Noodle Bar,161,281,367.86,1800.59
2017-05-14,Jack Rabbit,176,76,2964.96,2321.02
2017-05-15,Copacabana,165,28,1454.18,1185.66
2017-05-15,Noodle Bar,159,15,4355.37,1672.15
2017-05-15,Jack Rabbit,159,138,1406.94,2073.05
2017-05-16,Copacabana,252,54,973.0,938.88
2017-05-16,Noodle Bar,160,17,1787.07,4627.79
2017-05-16,Jack Rabbit,249,39,2594.92,2856.87
2017-05-17,Copacabana,223,197,2234.23,969.79
2017-05-17,Noodle Bar,300,53,677.51,2638.4
2017-05-17,Jack Rabbit,136,241,4378.4,2239.74
2017-05-18,Copacabana,290,225,964.52,4210.75
2017-05-18,Noodle Bar,300,126,4814.46,2299.81
2017-05-18,Jack Rabbit,177,52,551.07,2424.91
2017-05-19,Copacabana,261,170,69.52,1503.28
2017-05-19,Noodle Bar,243,57,3380.26,4860.89
2017-05-19,Jack Rabbit,169,285,669.36,2481.6
2017-05-20,Copacabana,150,83,3276.08,1892.91
2017-05-20,Noodle Bar,42,153,1897.54,4537.89
2017-05-20,Jack Rabbit,57,97,268.71,679.76
2017-05-21,Copacabana,172,68,944.11,3585.94
2017-05-21,Noodle Bar,275,91,3086.87,3419.66
2017-05-21,Jack Rabbit,20,286,125.14,2352.93
2017-05-22,Copacabana,114,114,61.2,121.43
2017-05-22,Noodle Bar,75,112,4243.98,3667.49
2017-05-22,Jack Rabbit,273,37,4294.57,3800.18
2017-05-23,Copacabana,146,58,2236.65,4162.0
2017-05-23,Noodle Bar,125,23,2135.88,3306.69
2017-05-23,Jack Rabbit,87,172,3993.17,3885.94
2017-05-24,Copacabana,249,157,4824.97,1788.12
2017-05-24,Noodle Bar,64,121,1880.16,2872.53
2017-05-24,Jack Rabbit,231,173,4840.32,2597.4
2017-05-25,Copacabana,295,22,2918.92,1173.67
2017-05-25,Noodle Bar,279,133,580.35,650.39
2017-05-25,Jack Rabbit,64,18,3029.72,122.44
2017-05-26,Copacabana,31,155,3606.45,1570.37
2017-05-26,Noodle Bar,93,157,732.44,4029.16
2017-05-26,Jack Rabbit,109,117,4464.14,3953.93
2017-05-27,Copacabana,55,247,2793.22,2153.47
2017-05-27,Noodle Bar,201,159,4963.62,4876.03
2017-05-27,Jack Rabbit,90,119,2789.3,466.5
2017-05-28,Copacabana,219,236,3305.95,2039.74
2017-05-28,Noodle Bar,104,282,1883.5,4280.5
2017-05-28,Jack Rabbit,238,276,4014.01,1943.12
2017-05-29,Copacabana,3,22,2510.09,3431.14
2017-05-29,Noodle Bar,297,43,4595.56,1655.6
2017-05-29,Jack Rabbit,258,76,919.66,3449.79
2017-05-30,Copacabana,181,115,2686.41,3935.56
2017-05-30,Noodle Bar,217,284,3553.41,3908.97
2017-05-30,Jack Rabbit,28,74,4991.98,1402.35
2017-05-31,Copacabana,5,225,4628.06,1812.21
2017-05-31,Noodle Bar,69,35,1650.45,3693.39
2017-05-31,Jack Rabbit,92,20,3441.08,4793.26
2017-06-01,Copacabana,131,71,568.87,2561.2
2017-06-01,Noodle Bar,152,287,2514.75,1153.7
2017-06-01,Jack Rabbit,270,175,1014.27,1033.15
2017-06-02,Copacabana,43,21,1108.32,3744.45
2017-06-02,Noodle Bar,266,251,944.8,2301.56
2017-06-02,Jack Rabbit,90,235,4459.71,886.87
2017-06-03,Copacabana,96,285,3603.28,856.23
2017-06-03,Noodle Bar,59,142,1120.42,3344.86
2017-06-03,Jack Rabbit,152,139,3520.95,1709.16
2017-06-04,Copacabana,74,150,4261.42,4330.78
2017-06-04,Noodle Bar,149,21,412.0,4531.27
2017-06-04,Jack Rabbit,276,291,1576.33,3977.28
2017-06-05,Copacabana,136,29,3234.18,580.23
2017-06-05,Noodle Bar,208,85,1893.74,2639.34
2017-06-05,Jack Rabbit,159,103,1350.57,1412.67
2017-06-06,Copacabana,20,114,662.56,4713.99
2017-06-06,Noodle Bar,209,278,806.08,1344.89
2017-06-06,Jack Rabbit,288,147,3409.72,4495.41
2017-06-07,Copacabana,269,284,139.71,1133.54
2017-06-07,Noodle Bar,58,197,177.64,2347.47
2017-06-07,Jack Rabbit,167,27,2515.21,3402.25
2017-06-08,Copacabana,47,102,718.92,1211.57
2017-06-08,Noodle Bar,91,95,4876.77,561.72
2017-06-08,Jack Rabbit,196,288,3567.36,3332.32
2017-06-09,Copacabana,118,73,1400.21,4840.66
2017-06-09,Noodle Bar,229,41,2896.69,25.7
2017-06-09,Jack Rabbit,11,260,2025.74,4682.5
2017-06-10,Copacabana,170,249,1190.74,4115.84
2017-06-10,Noodle Bar,206,230,2456.21,1306.84
2017-06-10,Jack Rabbit,252,66,2066.42,65.05
2017-06-11,Copacabana,145,286,2624.5,659.9
2017-06-11,Noodle Bar,65,285,4480.16,3846.22
2017-06-11,Jack Rabbit,83,125,2438.86,4535.96
2017-06-12,Copacabana,207,109,1933.44,263.39
2017-06-12,Noodle Bar,50,111,627.8,3365.16
2017-06-12,Jack Rabbit,42,183,2623.56,1006.98
2017-06-13,Copacabana,122,279,666.0,1209.75
2017-06-13,Noodle Bar,32,5,3743.67,1695.48
2017-06-13,Jack Rabbit,35,182,2531.6,2760.93
2017-06-14,Copacabana,87,135,1148.93,3308.67
2017-06-14,Noodle Bar,286,183,591.49,3856.07
2017-06-14,Jack Rabbit,299,109,4447.54,2964.91
2017-06-15,Copacabana,232,58,418.32,3968.19
2017-06-15,Noodle Bar,229,235,2170.55,1170.22
2017-06-15,Jack Rabbit,116,292,81.25,2630.54
2017-06-16,Copacabana,148,25,4111.0,2072.78
2017-06-16,Noodle Bar,255,68,4323.61,1491.41
2017-06-16,Jack Rabbit,98,55,4291.84,3545.54
2017-06-17,Copacabana,200,79,3917.33,2106.05
2017-06-17,Noodle Bar,78,125,166.21,4220.65
2017-06-17,Jack Rabbit,251,257,4821.58,127.74
2017-06-18,Copacabana,231,289,4096.91,77.76
2017-06-18,Noodle Bar,176,140,2553.88,3849.99
2017-06-18,Jack Rabbit,246,87,2975.5,521.17
2017-06-19,Copacabana,132,37,2089.76,1430.89
2017-06-19,Noodle Bar,203,222,4395.57,122.51
2017-06-19,Jack Rabbit,268,294,537.61,1775.25
2017-06-20,Copacabana,274,108,3000.35,4573.03
2017-06-20,Noodle Bar,223,223,2423.0,2521.92
2017-06-20,Jack Rabbit,164,90,2205.24,1444.26
2017-06-21,Copacabana,148,67,1314.99,4738.23
2017-06-21,Noodle Bar,159,297,2101.08,3977.73
2017-06-21,Jack Rabbit,108,123,1829.94,3713.05
2017-06-22,Copacabana,127,4,2434.12,4143.27
2017-06-22,Noodle Bar,13,257,2480.76,3722.69
2017-06-22,Jack Rabbit,119,46,1292.65,216.2
2017-06-23,Copacabana,281,231,2898.21,3609.32
2017-06-23,Noodle Bar,0,72,235.83,2265.76
2017-06-23,Jack Rabbit,198,130,4485.28,3125.35
2017-06-24,Copacabana,275,65,741.38,4978.33
2017-06-24,Noodle Bar,138,245,3471.69,3750.18
2017-06-24,Jack Rabbit,23,187,1870.29,3181.6
2017-06-25,Copacabana,205,112,3078.99,2520.92
2017-06-25,Noodle Bar,62,77,3521.47,2832.97
2017-06-25,Jack Rabbit,283,118,3045.08,2168.75
2017-06-26,Copacabana,258,38,1867.9,312.92
2017-06-26,Noodle Bar,248,74,1120.02,4941.47
2017-06-26,Jack Rabbit,17,110,4713.59,4614.24
2017-06-27,Copacabana,231,40,563.56,4161.53
2017-06-27,Noodle Bar,296,124,3501.54,4170.63
2017-06-27,Jack Rabbit,90,71,1439.61,5.63
2017-06-28,Copacabana,46,43,1183.91,2747.91
2017-06-28,Noodle Bar,39,101,3570.79,3266.63
2017-06-28,Jack Rabbit,61,178,654.08,3987.76
2017-06-29,Copacabana,164,135,3150.31,567.17
2017-06-29,Noodle Bar,10,103,3384.22,3633.08
2017-06-29,Jack Rabbit,288,38,3787.65,2813.1
2017-06-30,Copacabana,38,174,1688.24,4213.61
2017-06-30,Noodle Bar,55,149,4706.32,1499.07
2017-06-30,Jack Rabbit,272,274,4392.0,2485.35
2017-07-01,Copacabana,109,80,4294.68,4401.48
2017-07-01,Noodle Bar,74,205,112.3,4767.6
2017-07-01,Jack Rabbit,49,293,3964.02,4237.98
2017-07-02,Copacabana,96,64,1575.93,2712.52
2017-07-02,Noodle Bar,287,9,1200.11,539.7
2017-07-02,Jack Rabbit,68,195,4995.98,1708.16
2017-07-03,Copacabana,53,91,539.69,23.16
2017-07-03,Noodle Bar,232,46,4478.53,1633.43
2017-07-03,Jack Rabbit,178,185,3238.74,4789.36
2017-07-04,Copacabana,168,139,1156.46,951.48
2017-07-04,Noodle Bar,283,72,3390.34,1689.37
2017-07-04,Jack Rabbit,101,213,1321.53,3963.03
2017-07-05,Copacabana,114,54,180.99,2114.65
2017-07-05,Noodle Bar,260,80,4824.03,797.42
2017-07-05,Jack Rabbit,269,45,338.85,1791.56
2017-07-06,Copacabana,27,30,785.51,56.05
2017-07-06,Noodle Bar,190,250,3784.13,3567.19
2017-07-06,Jack Rabbit,175,88,213.83,2585.31
2017-07-07,Copacabana,75,241,904.23,1318.7
2017-07-07,Noodle Bar,247,183,282.99,2480.43
2017-07-07,Jack Rabbit,17,72,826.02,2329.4
2017-07-08,Copacabana,135,95,2816.3,1764.17
2017-07-08,Noodle Bar,266,41,1978.83,1575.53
2017-07-08,Jack Rabbit,201,87,4233.36,212.1
2017-07-09,Copacabana,188,147,1646.02,4368.92
2017-07-09,Noodle Bar,51,236,52.14,3531.99
2017-07-09,Jack Rabbit,252,164,4385.68,4661.63
2017-07-10,Copacabana,54,205,190.94,321.55
2017-07-10,Noodle Bar,268,270,4410.92,2344.44
2017-07-10,Jack Rabbit,142,183,2993.55,2758.8
2017-07-11,Copacabana,57,112,3449.66,3423.01
2017-07-11,Noodle Bar,76,239,4497.63,2365.88
2017-07-11,Jack Rabbit,49,278,348.92,843.12
2017-07-12,Copacabana,54,132,969.81,3994.11
2017-07-12,Noodle Bar,258,192,4658.24,1422.47
2017-07-12,Jack Rabbit,42,253,653.35,2922.11
2017-07-13,Copacabana,109,37,2889.73,623.16
2017-07-13,Noodle Bar,210,57,1681.73,1222.84
2017-07-13,Jack Rabbit,191,118,1127.09,4327.09
2017-07-14,Copacabana,170,290,1.81,2816.4
2017-07-14,Noodle Bar,10,24,2549.97,674.96
2017-07-14,Jack Rabbit,116,72,4625.37,3273.98
2017-07-15,Copacabana,153,97,806.5,1585.77
2017-07-15,Noodle Bar,21,230,2733.96,2220.8
2017-07-15,Jack Rabbit,145,130,1052.4,2270.05
2017-07-16,Copacabana,231,148,1920.85,2373.62
2017-07-16,Noodle Bar,273,276,2421.74,4485.56
2017-07-16,Jack Rabbit,118,235,4323.2,2872.44
2017-07-17,Copacabana,296,137,1407.22,1693.74
2017-07-17,Noodle Bar,276,140,4740.06,4014.47
2017-07-17,Jack Rabbit,166,45,3762.19,4362.05
2017-07-18,Copacabana,188,172,2396.52,2847.52
2017-07-18,Noodle Bar,158,184,3631.25,3623.39
2017-07-18,Jack Rabbit,242,141,3986.75,3278.47
2017-07-19,Copacabana,173,88,4142.45,1247.78
2017-07-19,Noodle Bar,267,144,4435.56,1318.11
2017-07-19,Jack Rabbit,275,279,1755.47,4790.63
2017-07-20,Copacabana,273,3,2708.66,1984.87
2017-07-20,Noodle Bar,1,120,3235.4,594.09
2017-07-20,Jack Rabbit,8,101,4571.79,1622.86
2017-07-21,Copacabana,86,234,2083.35,1797.96
2017-07-21,Noodle Bar,245,278,3166.36,3036.87
2017-07-21,Jack Rabbit,296,58,292.26,175.9
2017-07-22,Copacabana,156,209,4579.4,3301.19
2017-07-22,Noodle Bar,153,80,3081.31,1993.45
2017-07-22,Jack Rabbit,137,2,1427.3,2048.53
2017-07-23,Copacabana,173,66,1123.73,2185.05
2017-07-23,Noodle Bar,185,163,2129.67,286.52
2017-07-23,Jack Rabbit,126,29,2072.78,306.51
2017-07-24,Copacabana,18,206,4056.96,840.63
2017-07-24,Noodle Bar,104,0,3905.69,3549.79
2017-07-24,Jack Rabbit,187,133,1542.19,1480.84
2017-07-25,Copacabana,37,275,433.43,2138.98
2017-07-25,Noodle Bar,290,114,4473.31,3781.42
2017-07-25,Jack Rabbit,38,256,2733.24,3616.57
2017-07-26,Copacabana,239,83,2391.63,423.84
2017-07-26,Noodle Bar,85,201,949.87,711.89
2017-07-26,Jack Rabbit,296,1,492.54,1832.96
2017-07-27,Copacabana,11,18,4383.37,4843.61
2017-07-27,Noodle Bar,254,12,4753.38,1108.29
2017-07-27,Jack Rabbit,131,239,2489.23,1790.64
2017-07-28,Copacabana,295,25,3203.66,389.55
2017-07-28,Noodle Bar,103,235,3722.67,1115.55
2017-07-28,Jack Rabbit,183,141,526.55,2656.1
2017-07-29,Copacabana,152,256,608.51,634.78
2017-07-29,Noodle Bar,87,254,2344.38,4393.32
2017-07-29,Jack Rabbit,149,252,256.23,1033.9
2017-07-30,Copacabana,68,245,3753.46,4364.07
2017-07-30,Noodle Bar,145,134,4096.46,4088.47
2017-07-30,Jack Rabbit,255,44,792.09,3907.43
2017-07-31,Copacabana,149,80,3947.35,240.68
2017-07-31,Noodle Bar,230,251,2395.67,3527.66
2017-07-31,Jack Rabbit,243,35,2921.53,2807.84
2017-08-01,Copacabana,108,139,1865.17,409.68
2017-08-01,Noodle Bar,109,99,2691.25,4159.36
2017-08-01,Jack Rabbit,214,168,840.6,390.85
2017-08-02,Copacabana,170,78,4782.33,924.51
2017-08-02,Noodle Bar,5,178,1998.6,787.57
2017-08-02,Jack Rabbit,65,273,696.36,3843.15
2017-08-03,Copacabana,0,98,3833.92,1472.68
2017-08-03,Noodle Bar,34,217,2007.69,3920.37
2017-08-03,Jack Rabbit,150,299,90.72,535.04
2017-08-04,Copacabana,300,22,2252.97,4054.87
2017-08-04,Noodle Bar,263,125,946.04,4960.62
2017-08-04,Jack Rabbit,105,296,1313.78,3638.02
2017-08-05,Copacabana,287,109,4761.56,2190.87
2017-08-05,Noodle Bar,143,246,2424.04,845.33
2017-08-05,Jack Rabbit,50,47,3824.75,2674.82
2017-08-06,Copacabana,222,230,2909.1,2434.41
2017-08-06,Noodle Bar,274,146,2707.7,3110.52
2017-08-06,Jack Rabbit,185,192,965.11,3172.37
2017-08-07,Copacabana,136,167,1135.7,1603.69
2017-08-07,Noodle Bar,2,15,4377.22,3308.36
2017-08-07,Jack Rabbit,206,258,3638.73,4997.18
2017-08-08,Copacabana,131,150,1988.46,4447.42
2017-08-08,Noodle Bar,262,53,1484.64,4179.5
2017-08-08,Jack Rabbit,51,143,763.12,2169.02
2017-08-09,Copacabana,225,166,2150.78,1508.6
2017-08-09,Noodle Bar,95,169,1345.11,809.86
2017-08-09,Jack Rabbit,212,15,4370.61,2374.12
2017-08-10,Copacabana,106,168,1209.51,3918.06
2017-08-10,Noodle Bar,22,155,3807.53,2157.7
2017-08-10,Jack Rabbit,53,18,2173.6,788.16
2017-08-11,Copacabana,100,233,2285.31,1922.27
2017-08-11,Noodle Bar,251,64,2288.52,2528.2
2017-08-11,Jack Rabbit,170,1,3308.11,723.45
2017-08-12,Copacabana,220,162,3480.65,1687.32
2017-08-12,Noodle Bar,54,69,2727.35,1119.76
2017-08-12,Jack Rabbit,70,295,965.1,2893.52
2017-08-13,Copacabana,178,166,4832.17,2658.67
2017-08-13,Noodle Bar,157,282,3562.77,3738.74
2017-08-13,Jack Rabbit,60,12,4128.49,1795.69
2017-08-14,Copacabana,178,288,3651.74,4306.37
2017-08-14,Noodle Bar,99,189,743.1,2356.23
2017-08-14,Jack Rabbit,196,296,1709.62,4916.3
2017-08-15,Copacabana,222,84,4559.05,3244.56
2017-08-15,Noodle Bar,63,268,3930.36,1407.3
2017-08-15,Jack Rabbit,202,21,2230.87,1487.96
2017-08-16,Copacabana,98,183,3620.14,3940.1
2017-08-16,Noodle Bar,75,32,3631.48,271.28
2017-08-16,Jack Rabbit,67,227,1771.72,3553.85
2017-08-17,Copacabana,167,219,1873.27,873.85
2017-08-17,Noodle Bar,9,38,2687.57,1468.74
2017-08-17,Jack Rabbit,247,61,132.17,2197.72
2017-08-18,Copacabana,105,134,283.78,2992.91
2017-08-18,Noodle Bar,271,276,1309.14,3175.78
2017-08-18,Jack Rabbit,64,271,4268.05,2796.99
2017-08-19,Copacabana,129,6,2020.0,1394.02
2017-08-19,Noodle Bar,286,173,3708.24,1966.18
2017-08-19,Jack Rabbit,105,170,2256.87,2775.73
2017-08-20,Copacabana,52,49,4733.14,2032.67
2017-08-20,Noodle Bar,164,178,2827.96,4299.53
2017-08-20,Jack Rabbit,69,93,475.6,1725.68
2017-08-21,Copacabana,255,105,4392.65,575.26
2017-08-21,Noodle Bar,88,215,3268.7,833.07
2017-08-21,Jack Rabbit,239,20,740.8,1370.8
2017-08-22,Copacabana,216,173,375.27,657.8
2017-08-22,Noodle Bar,276,269,687.7,1474.17
2017-08-22,Jack Rabbit,207,94,1106.62,4285.81
2017-08-23,Copacabana,20,35,3647.92,492.86
2017-08-23,Noodle Bar,55,170,4006.24,2344.2
2017-08-23,Jack Rabbit,115,72,1160.48,2167.22
2017-08-24,Copacabana,273,197,665.9,4866.87
2017-08-24,Noodle Bar,136,198,3557.3,3264.46
2017-08-24,Jack Rabbit,49,134,2455.95,2028.52
2017-08-25,Copacabana,23,191,3926.26,3917.38
2017-08-25,Noodle Bar,189,38,4554.47,132.99
2017-08-25,Jack Rabbit,3,12,992.91,3987.21
2017-08-26,Copacabana,136,140,2904.7,1643.54
2017-08-26,Noodle Bar,255,77,1918.78,3651.33
2017-08-26,Jack Rabbit,118,211,1169.52,2583.8
2017-08-27,Copacabana,121,238,4837.67,2992.05
2017-08-27,Noodle Bar,201,58,4831.48,4632.88
2017-08-27,Jack Rabbit,11,217,4144.41,4051.32
2017-08-28,Copacabana,192,26,2786.27,4269.99
2017-08-28,Noodle Bar,261,134,1025.89,3762.12
2017-08-28,Jack Rabbit,272,96,1083.17,2981.04
2017-08-29,Copacabana,72,81,3901.27,808.72
2017-08-29,Noodle Bar,148,37,2410.21,1629.96
2017-08-29,Jack Rabbit,294,188,2342.46,4658.52
2017-08-30,Copacabana,54,209,3736.06,2132.3
2017-08-30,Noodle Bar,286,60,1857.16,1350.62
2017-08-30,Jack Rabbit,184,58,1051.0,4524.38
2017-08-31,Copacabana,38,249,3826.43,132.52
2017-08-31,Noodle Bar,269,181,1035.08,4345.85
2017-08-31,Jack Rabbit,19,244,906.97,690.39
2017-09-01,Copacabana,279,179,1823.36,4029.65
2017-09-01,Noodle Bar,222,169,4044.32,3313.25
2017-09-01,Jack Rabbit,20,204,257.98,3397.74
2017-09-02,Copacabana,89,261,4466.71,779.48
2017-09-02,Noodle Bar,125,67,3454.52,3832.99
2017-09-02,Jack Rabbit,8,171,2093.41,1116.04
2017-09-03,Copacabana,272,28,1478.46,3261.9
2017-09-03,Noodle Bar,138,71,3074.18,2141.55
2017-09-03,Jack Rabbit,141,107,1751.13,264.91
2017-09-04,Copacabana,221,72,3386.83,4509.87
2017-09-04,Noodle Bar,142,149,2101.06,1346.87
2017-09-04,Jack Rabbit,217,196,2396.84,1864.85
2017-09-05,Copacabana,9,279,2342.04,4598.96
2017-09-05,Noodle Bar,70,68,3950.78,541.72
2017-09-05,Jack Rabbit,155,213,549.45,2817.14
2017-09-06,Copacabana,219,164,720.61,1938.93
2017-09-06,Noodle Bar,294,188,2647.74,4696.05
2017-09-06,Jack Rabbit,185,138,1300.09,783.47
2017-09-07,Copacabana,31,196,1028.21,2511.31
2017-09-07,Noodle Bar,74,241,4899.88,1524.59
2017-09-07,Jack Rabbit,11,235,1139.54,4457.66
2017-09-08,Copacabana,192,197,4210.01,1275.16
2017-09-08,Noodle Bar,46,244,2359.26,3248.55
2017-09-08,Jack Rabbit,275,164,873.62,1446.66
2017-09-09,Copacabana,270,21,4543.75,1158.8
2017-09-09,Noodle Bar,251,45,3204.55,3404.98
2017-09-09,Jack Rabbit,226,178,485.91,2066.26
2017-09-10,Copacabana,209,250,174.42,4512.09
2017-09-10,Noodle Bar,97,156,4205.39,536.65
2017-09-10,Jack Rabbit,215,30,610.93,4625.51
2017-09-11,Copacabana,84,238,102.45,3505.95
2017-09-11,Noodle Bar,94,117,4228.3,3996.94
2017-09-11,Jack Rabbit,132,10,4682.53,3058.8
2017-09-12,Copacabana,291,207,3359.58,2796.18
2017-09-12,Noodle Bar,217,79,4565.71,4444.1
2017-09-12,Jack Rabbit,176,205,352.55,3729.41
2017-09-13,Copacabana,151,75,754.18,3123.33
2017-09-13,Noodle Bar,255,74,1118.62,39.28
2017-09-13,Jack Rabbit,30,293,3863.53,3870.95
2017-09-14,Copacabana,182,139,3770.66,3060.64
2017-09-14,Noodle Bar,80,277,3808.35,1218.39
2017-09-14,Jack Rabbit,175,125,1667.38,233.42
2017-09-15,Copacabana,182,238,335.57,3512.86
2017-09-15,Noodle Bar,11,291,987.97,4558.64
2017-09-15,Jack Rabbit,200,287,2639.81,58.17
